,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.1297335452207617,1.1294011515146964,0.0003323937060653037,5.874060315839832e-09,1642.2025223120759
Ocean_Mixed_Water,0.9973849175182433,0.9973849175182832,-3.985700658404312e-14,1.0666452930403586e-10,1343.3524113883568
Ocean_Column_Water,1.1041898976787214,1.1041898976787656,-4.418687638008123e-14,1.168048558381956e-10,1469.6983795406022
Coast_Surface_Water,0.12981673298006027,0.1298164441627445,2.8881731578556114e-07,1.896689215089651e-11,5.3265630956875345
Coast_Column_Water,8.49848577585938e-05,8.498485775718074e-05,1.41306779645467e-15,1.1701228751121083e-14,0.1232597577886977
Surface_Freshwater,1.4370235908525132e-18,1.4399471517526053e-18,-2.9235609000920107e-21,1.3467093122765692e-25,4.689230583098163e-14
Bulk_Freshwater,5.330601066281074e-18,5.330601065894835e-18,3.862390873710381e-28,1.3923805213498863e-26,1.7299285335576363e-13
Sediment_Freshwater,5.330075068800432e-18,5.330075068800431e-18,7.703719777548943e-34,1.4313437982511356e-20,1.0251391221747581e-07
Sediment_Ocean,1.0893237021460889,1.0893237021460889,0.0,0.0010634664777688868,11740611717.97427
Sediment_Coast,4.948347575571526e-06,4.948347575571525e-06,8.470329472543003e-22,8.570790739429152e-08,441223.91565940966
Urban_Soil_Surface,5.257037262513975e-19,5.257037262513974e-19,9.62964972193618e-35,3.897695082908829e-23,1.1800836926326138e-11
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,8.30649304112528e-19,8.306493041125283e-19,-2.8888949165808538e-34,3.897695082908829e-23,1.1800836926326138e-11
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,2.768831013708427e-20,2.768831013708427e-20,0.0,9.744237707272074e-24,2.950209231581534e-12
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,4.769192374083565e-18,4.769192374083565e-18,0.0,1.9709563485242387e-31,5.5100767766114e-20
