,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,1.481407998059019,8.753341523850263e-05,5.089128618629132e-06,3367.551483505984
1,Ocean_Mixed_Water,0.03031745529726061,0.03754227402864985,1.0415053084596045e-10,1444.3117551725338
2,Ocean_Column_Water,0.9849935213780306,1.2169073851565155,1.1301168072233051e-10,1563.5764304714223
3,Coast_Surface_Water,0.03740561073355417,1.3485996832322729e-06,5.006142768738311e-06,2021.2552591160445
4,Coast_Column_Water,0.000535005873221852,0.0006530116157500097,1.4304196413381673e-10,1955.228190938835
5,Surface_Freshwater,4.598836264399967e-20,7.69670031874647e-23,6.005187234012146e-24,1.1255241320066698e-13
6,Bulk_Freshwater,4.697124354808021e-20,5.2096238281299957e-20,2.040752506790911e-26,2.5347566692251066e-13
7,Sediment_Freshwater,1.2524318276393862e-16,3.1292996845196455e-17,5.441421599203675e-20,1.5225692884983992e-07
8,Sediment_Ocean,96.0195157632476,97.34321928824853,0.0011016647950503919,12507407318.079552
9,Sediment_Coast,1.4458246454112924,1.401589158935635,0.0006447582888513001,6999607194.411145
10,Urban_Soil_Surface,8.282112927488822e-18,8.356988028980113e-19,3.483068474898098e-22,3.935883846562527e-10
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,1.3086327899662056e-17,1.3204635889207006e-18,3.4830684748980976e-22,3.9358838465625256e-10
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,4.362109299887351e-19,4.4015452964023356e-20,8.707671187245244e-23,9.839709616406314e-11
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,4.5328551664012e-20,2.652642638487626e-24,1.750562418857079e-30,1.147244892367835e-21
