,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,126652.0778324927,126652.07783249268,1.4551915228366852e-11,3.681734793120777e-09,477.01916355578635
Ocean_Mixed_Water,754599.6696544101,754599.66965441,1.1641532182693481e-10,6.096585794381564e-10,477.0929589649418
Ocean_Column_Water,627948.7579651325,627948.7579651324,1.1641532182693481e-10,1.2558086693782142e-09,1428.5120427669237
Coast_Surface_Water,315.1167847896669,315.1167847896678,-9.094947017729282e-13,3.5675738785486825e-09,1067.949232872844
Coast_Column_Water,315.0389429302847,315.0389429302846,1.1368683772161603e-13,6.317124865025947e-11,107.01745271413056
Surface_Freshwater,2.895588170186139e-13,2.895588170186143e-13,-4.0389678347315804e-28,1.0645118828109298e-24,5.727101666770715e-13
Bulk_Freshwater,2.895613865017915e-13,2.895613865017916e-13,-1.0097419586828951e-28,1.0898807115483943e-25,1.7225639513185414e-13
Sediment_Freshwater,3.494191849992727e-18,3.494191849992727e-18,0.0,9.51418385119313e-21,1.0207705398990808e-07
Sediment_Ocean,0.9523018625404219,0.9523018625404218,1.1102230246251565e-16,0.0009949467354723829,11371705411.264574
Sediment_Coast,0.002127946304919103,0.0021279463049191025,4.336808689942018e-19,3.874996511886043e-05,383016278.730258
Urban_Soil_Surface,3.3766869371203794e-19,3.3766869371203784e-19,9.62964972193618e-35,2.5184058490688703e-23,4.199072563732639e-11
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,5.335405694240026e-19,5.335405694240027e-19,-9.62964972193618e-35,2.51840584906887e-23,4.1990725637326384e-11
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,1.778468564746676e-20,1.7784685647466763e-20,-3.009265538105056e-36,6.2960146226721765e-24,1.0497681409331593e-11
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,3.0633235329874727e-18,3.0633235329874735e-18,-7.703719777548943e-34,1.2659797188718497e-31,1.6924153238707498e-20
