species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9697498349945031
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.014288830407175589
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.011262830146817029
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.0034598198033332903
aC8_Utopia,Sediment_Ocean,biofMP,0.5,0.000679442364604554
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.00024137021252062832
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.0001982150146671777
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,8.459813326047289e-05
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,3.167004635073279e-05
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,2.3356144976194175e-06
