,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,55.881250535300666,55.88125053229722,3.0034428277758707e-09,2.4973745777708974e-06,0.028563819727173097
Ocean_Mixed_Water,2.0659830759597765e-05,2.0659830759597765e-05,0.0,2.4207516445828557e-15,0.03503891892305442
Ocean_Column_Water,2.305002258094706e-05,2.3050022580947055e-05,3.3881317890172014e-21,2.668990061043792e-15,0.03859971735797008
Coast_Surface_Water,55.22438492479441,55.224384924605985,1.8842172266886337e-10,2.498039182506194e-06,3.1574012335928607
Coast_Column_Water,9.336716511667344e-05,9.33515395165606e-05,1.562560011284344e-08,3.92082427750027e-13,5.6401371762444885
Surface_Freshwater,0.2339359702614855,0.2339359704757105,-2.1422499885126456e-10,1.5091110607604202e-06,33473.55548782342
Bulk_Freshwater,0.8010998345901392,0.8010998345901393,-1.1102230246251565e-16,3.0564110390556954e-09,42457.45851440048
Sediment_Freshwater,0.8010022913895255,0.8010022913895254,1.1102230246251565e-16,0.0021810127262465936,25041962864.21922
Sediment_Ocean,2.277049294586913e-05,2.2770492945869122e-05,6.776263578034403e-21,2.379035457823734e-08,308340.8444105548
Sediment_Coast,8.466808552555645e-05,8.466808552555644e-05,1.3552527156068805e-20,1.5417912638183748e-06,19966291.243754048
Urban_Soil_Surface,0.1102082983339714,0.11020829833397137,2.7755575615628914e-17,6.230834716078001e-06,68818056.47141488
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,0.17413695537467366,0.17413695537467364,2.7755575615628914e-17,6.230834716078002e-06,68818056.47141488
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,0.005804565179155789,0.005804565179155789,0.0,1.5577086790195006e-06,17204514.11785372
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0000000000000022,1.000000000000002,2.220446049250313e-16,4.131904234544445e-14,6.442907595298908e-13
