,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,0.3011719928444959,3.681650980706451e-05,1.0559041664432163e-06,1340.33421626939
1,Ocean_Mixed_Water,8.944105437183097,0.03685761830529194,3.135788991211191e-08,1341.830803725464
2,Ocean_Column_Water,0.9146477708736707,1.2204365423082992,1.0709890215736396e-10,1483.9077738392334
3,Coast_Surface_Water,0.007704204309742203,1.0418948733112656e-06,1.0522900194307457e-06,1477.719925583118
4,Coast_Column_Water,0.11458507624266091,0.0005221457595332953,3.1266131645897115e-08,1479.443615156724
5,Surface_Freshwater,1.2995607378004308e-20,5.085727824679643e-23,1.7318742946466993e-24,7.037744026109542e-14
6,Bulk_Freshwater,1.2741591071864009e-19,1.532581097399911e-20,5.649670532614237e-26,7.056404895613453e-14
7,Sediment_Freshwater,9.275457365768667e-18,9.065832175460459e-18,4.1127735037439614e-21,4.1741466506575525e-08
8,Sediment_Ocean,88.68417439301115,97.62162896356244,0.0010384300950245847,11869645744.947351
9,Sediment_Coast,1.0336111255351952,1.120516871659729,0.00047041337881963396,5295432762.616994
10,Urban_Soil_Surface,1.684359119356652e-18,2.51504563157465e-19,7.229308129654317e-23,1.1209041602328286e-10
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,2.6614072917948514e-18,3.9739511046944643e-19,7.229308129654314e-23,1.1209041602328281e-10
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,8.871357639316174e-20,1.3246503682314882e-20,1.8073270324135792e-23,2.8022604005820713e-11
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,9.218320699686317e-21,1.129873126525626e-24,3.6332790098167243e-31,4.624206125913277e-22
