,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,11.288104324787344,11.288104324792663,-5.31841237716435e-12,3.507864492636298e-05,0.492390871555588
Ocean_Mixed_Water,0.8808458330023862,0.8808458330023861,1.1102230246251565e-16,1.0123301824294971e-11,0.0003920346220526426
Ocean_Column_Water,0.9852545968969973,0.9852545968969973,0.0,1.1427048027039967e-11,0.009331759681644097
Coast_Surface_Water,10.313121608350713,10.313121608349135,1.5774048733874224e-12,3.4993552125127026e-05,0.49234904184285294
Coast_Column_Water,0.043876850081126975,0.043876850081126975,0.0,1.8642248988128736e-11,0.01450287000171649
Surface_Freshwater,8.851974632581646e-17,8.851974632581314e-17,3.3280069439011436e-30,6.0128629964564905e-24,2.0547072832659036e-19
Bulk_Freshwater,3.116623041684254e-16,3.1166230416842543e-16,-4.930380657631324e-32,4.5048952721286776e-26,3.0670585335570477e-18
Sediment_Freshwater,3.116041089717486e-16,3.1160410897174863e-16,-4.930380657631324e-32,8.484534276151041e-19,3.642991249590243e-12
Sediment_Ocean,0.9843103555856313,0.9843103555856314,-1.1102230246251565e-16,0.0010283963793401739,732315.0985973645
Sediment_Coast,0.04113577843294092,0.0411357784329409,1.3877787807814457e-17,0.0007490846989523079,223595.24382197578
Urban_Soil_Surface,3.2195261067653176e-17,3.219526106765317e-17,6.162975822039155e-33,2.4018269828294245e-21,2.305239479305128e-15
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,5.087080396454808e-17,5.087080396454807e-17,1.232595164407831e-32,2.401826982829424e-21,2.3052394793051276e-15
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,1.6956934654849361e-18,1.6956934654849361e-18,0.0,6.004567457073561e-22,5.76309869826282e-16
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,2.9207470731043625e-16,2.920747073104362e-16,4.930380657631324e-32,1.2070573409506555e-29,1.694417903869936e-25
