,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,0.00014353090160752668,0.00014351556305757646,1.5338549950218985e-08,3.1527926369997217e-13,0.3860315308363361
Ocean_Mixed_Water,0.00024082411110349196,0.00024082411110349503,-3.06287113727155e-18,2.8051991996312737e-14,0.3664142057614658
Ocean_Column_Water,0.00026650067650616063,0.0002665006765061616,-9.75781955236954e-19,3.064420529199098e-14,0.39987065969356805
Coast_Surface_Water,0.00014449766118290158,0.0001444975060279402,1.551549613885029e-10,2.0982529049432976e-14,0.16584416939449964
Coast_Column_Water,0.0001079955811155671,0.00010795142846271236,4.415265285474107e-08,1.5263117411778864e-14,0.19319233334173436
Surface_Freshwater,0.7450941412565346,0.7451852829974807,-9.114174094604355e-05,1.3752998945511936e-08,113687.67479529371
Bulk_Freshwater,2.7617513843399264,2.7617513843332557,6.6706640211577906e-12,1.0536492998912645e-08,133144.46120681628
Sediment_Freshwater,2.7613511165945646,2.7613511165945646,0.0,0.007415357375613054,78529308126.13876
Sediment_Ocean,0.00026260045988000873,0.00026260045988000873,0.0,2.563670720573382e-07,3194243.300482318
Sediment_Coast,3.5074140687999695e-06,3.507414068799968e-06,1.6940658945086007e-21,6.075036024979455e-08,688438.8881771376
Urban_Soil_Surface,1.0,0.9999999999999999,1.1102230246251565e-16,5.6536892505102405e-05,624436249.4634584
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.2947180538833838e-16,1.2947180538833838e-16,0.0,4.632661140714454e-21,5.445532526588513e-08
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,4.315726846277947e-18,4.3157268462779464e-18,7.703719777548943e-34,1.1581652851786137e-21,1.3613831316471286e-08
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,7.43505622349669e-16,7.43505622349669e-16,0.0,3.072094029593872e-29,3.3930522199258756e-16
